unitSort|Sort units by stored numeric order then name; callers restrict to a class where appropriate.
populateLibraryFilters|Rebuild filters using only families/classes that own decks, retaining still-valid selections. Empty custom classes are not discarded from appState.
populateClassChoice|Build existing/catalog/custom choices, supporting excluded source classes for merges. Catalogs already represented by user instances are omitted; callers must choose the matching existing value when appropriate.
selectedClassPreview|Decode an existing/catalog/custom select value into a nonmutating choice object. Resolution is intentionally deferred until a user confirms.
resolveClassChoice|Resolve or create the selected user class in appState. Can mutate classes but does not persist; validate names and subsequent unit input in the calling action.
updateUnitDatalist|Show existing unit-name suggestions for the selected class. It must not invent a unit or preselect one for a new import.
importClassChoiceChanged|Toggle custom-class inputs and refresh unit suggestions/import availability after class or family changes.
prepareImportOrganization|Suggest a class from existing identity/metadata/content but leave a NEW deck's unit blank. Existing deck updates may prefill their current unit; parsed unit metadata does not override the explicit-choice rule.
updateImportActionAvailability|Enable visible import/update/copy actions only when custom naming and explicit unit text pass the UI gate. resolveImportOrganization must still validate on action.
resolveImportOrganization|Resolve the confirmed class and explicitly supplied unit into stable local IDs. Throws for missing/invalid choices; this can create records, so callers must handle failure carefully.
showImportPreview|Render all accepted rows into the bounded scroll area and expose update/copy/new actions by deck identity. Footer actions stay separate from the scroll list; imported text is escaped.
importNewDeck|Create a real deck with resolved organization, using a new ID for copies/collisions, then persist and select it. New independent evidence records are intentional for copies.
updateExistingDeck|Replace non-built-in card content under the SAME deck ID, retaining the user name and old fact memory, then reset/resume context as implemented. Changes to card IDs orphan old evidence rather than migrating it automatically.
openDeckFilePicker|Clear the hidden input before opening it so selecting the same file twice still emits a change event.
handleDeckFile|Read selected text, parse/normalize it and open preview; report errors without importing partial content.
orderedStudySetDecks|Order real deck choices by class/unit rank, deck order and name. The set stores references, not a sorted clone of decks.
studySetDeckIdsForClass|Return all selectable real deck IDs for one class; used by parent checkbox selection.
studySetDeckIdsForUnit|Return ordered real deck IDs for one unit. No synthetic unit deck is created.
setPendingStudyDecks|Apply checkbox additions/removals only to the pending selection and rerender indeterminate parent states. Cancel must not replace the running set.
renderStudySetPicker|Render class/unit/deck checkboxes, indeterminate parents and selected card/fact totals. Only classes containing real decks are shown; Start is disabled for an empty choice.
openStudySetPicker|Restore the saved valid selection into an editable Set and show the dialog, unless transitions are locked.
closeStudySetPicker|Dismiss selection UI without changing the active pool or source learning data.
startStudySetFromPicker|Commit selected real deck IDs, save the old context, choose Memory and start/resume the set. Changed membership invalidates the set snapshot; source decks keep their own evidence and deadlines.
button|Create a labeled type=button element and attach its action immediately. Merely rendering a button without this binding previously broke tap-only Later/Undo paths.
normalizedPeers|Sort and normalize peer order in place before moving. This resolves old duplicate order=0 values so the first arrow action is meaningful.
reorderRecord|Swap neighboring records within the caller's peer predicate, persist, and rerender. Returns at boundaries; never reorders unrelated classes/units as a side effect.
reorderDeck|Move a deck only among peers with the same classId and unitId (including Needs unit). Does not clone the deck or alter its fact identity.
appendDecksToUnit|Append incoming deck order after existing destination decks. Mutates order fields only; merge callers also move class/unit pointers and persist.
mergeUnits|Move source-unit decks into a DIFFERENT unit in the same class, append ordering and remove the source unit. Returns success without persisting; deck IDs/evidence remain intact.
mergeClasses|Move decks/units to a target class, combine normalized same-name units, and remove the source class. This is organization-only merging, not card/evidence merging; callers confirm and persist.
findOrCreateUnsortedClass|Create/reuse the fixed Unsorted fallback class for non-destructive container deletion. It owns displaced decks, not new copies of them.
deleteUnit|Confirm container removal, move its decks to Needs unit, and persist. No deck/card/progress deletion occurs; migration must not recreate the removed unit on the next save.
deleteClass|Confirm container removal and move decks to Unsorted/Needs unit before deleting class/unit records. A populated Unsorted class cannot be deleted recursively; deck data is preserved.
openOrganization|Configure the shared modal for create/edit/merge class/unit or moveDeck, storing the target ID separately from labels. Mode-specific controls and validation must stay in sync with saveOrganization.
organizationClassChanged|Update custom-class field visibility and destination-unit suggestions for the active modal mode.
saveOrganization|Validate/confirm the current management operation, change organizational fields through shared helpers, persist and rerender. Duplicate normalized names are rejected for edits in favor of explicit Merge.
renderDeckManager|Render used class -> unit -> deck groups, filters, and bound management actions. It does not show every catalog entry; empty groups and unassigned pointers have special behavior documented in the data guide.
restoreBackupFile|Read/normalize a private backup, replace local appState after confirmation, save without the old session and reload. This is replacement, not a merge with cloud or other device evidence.
firebaseAccountLabel|Choose a short display name/email prefix for the account button. Google identity is separate from the local profile's userName.
firebaseInitials|Produce an account avatar label from displayName/email without fetching a profile photo or other Google data.
